workerid,condition,browser,gender,age,spinnerPairID.1,spinnerPairID.2,spinnerPairID.3,spinnerPairID.4,spinnerPairID.5,spinnerPairCode.1,spinnerPairCode.2,spinnerPairCode.3,spinnerPairCode.4,spinnerPairCode.5,spinnerID_1.1,spinnerID_1.2,spinnerID_1.3,spinnerID_1.4,spinnerID_1.5,payoff1_1.1,payoff1_1.2,payoff1_1.3,payoff1_1.4,payoff1_1.5,payoff2_1.1,payoff2_1.2,payoff2_1.3,payoff2_1.4,payoff2_1.5,payoff3_1.1,payoff3_1.2,payoff3_1.3,payoff3_1.4,payoff3_1.5,prob1_1.1,prob1_1.2,prob1_1.3,prob1_1.4,prob1_1.5,prob2_1.1,prob2_1.2,prob2_1.3,prob2_1.4,prob2_1.5,prob3_1.1,prob3_1.2,prob3_1.3,prob3_1.4,prob3_1.5,winChoice_1.1,winChoice_1.2,winChoice_1.3,winChoice_1.4,winChoice_1.5,win_1.1,win_1.2,win_1.3,win_1.4,win_1.5,winProb_1.1,winProb_1.2,winProb_1.3,winProb_1.4,winProb_1.5,spinnerID_2.1,spinnerID_2.2,spinnerID_2.3,spinnerID_2.4,spinnerID_2.5,payoff1_2.1,payoff1_2.2,payoff1_2.3,payoff1_2.4,payoff1_2.5,payoff2_2.1,payoff2_2.2,payoff2_2.3,payoff2_2.4,payoff2_2.5,payoff3_2.1,payoff3_2.2,payoff3_2.3,payoff3_2.4,payoff3_2.5,prob1_2.1,prob1_2.2,prob1_2.3,prob1_2.4,prob1_2.5,prob2_2.1,prob2_2.2,prob2_2.3,prob2_2.4,prob2_2.5,prob3_2.1,prob3_2.2,prob3_2.3,prob3_2.4,prob3_2.5,winChoice_2.1,winChoice_2.2,winChoice_2.3,winChoice_2.4,winChoice_2.5,win_2.1,win_2.2,win_2.3,win_2.4,win_2.5,winProb_2.1,winProb_2.2,winProb_2.3,winProb_2.4,winProb_2.5,angleProportion_1.1,angleProportion_1.2,angleProportion_1.3,angleProportion_1.4,angleProportion_1.5,angleProportion_2.1,angleProportion_2.2,angleProportion_2.3,angleProportion_2.4,angleProportion_2.5,attentionCheck1.1,attentionCheck1.2,attentionCheck1.3,attentionCheck1.4,attentionCheck1.5,attentionCheck2.1,attentionCheck2.2,attentionCheck2.3,attentionCheck2.4,attentionCheck2.5,leftWheelFirst.1,leftWheelFirst.2,leftWheelFirst.3,leftWheelFirst.4,leftWheelFirst.5,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,happy1.1,happy1.2,happy1.3,happy1.4,happy1.5,sad1.1,sad1.2,sad1.3,sad1.4,sad1.5,content1.1,content1.2,content1.3,content1.4,content1.5,disapp1.1,disapp1.2,disapp1.3,disapp1.4,disapp1.5,relief1.1,relief1.2,relief1.3,relief1.4,relief1.5,regret1.1,regret1.2,regret1.3,regret1.4,regret1.5,happy2.1,happy2.2,happy2.3,happy2.4,happy2.5,sad2.1,sad2.2,sad2.3,sad2.4,sad2.5,content2.1,content2.2,content2.3,content2.4,content2.5,disapp2.1,disapp2.2,disapp2.3,disapp2.4,disapp2.5,relief2.1,relief2.2,relief2.3,relief2.4,relief2.5,regret2.1,regret2.2,regret2.3,regret2.4,regret2.5,happy3.1,happy3.2,happy3.3,happy3.4,happy3.5,sad3.1,sad3.2,sad3.3,sad3.4,sad3.5,content3.1,content3.2,content3.3,content3.4,content3.5,disapp3.1,disapp3.2,disapp3.3,disapp3.4,disapp3.5,relief3.1,relief3.2,relief3.3,relief3.4,relief3.5,regret3.1,regret3.2,regret3.3,regret3.4,regret3.5
1,1,Chrome,F,29,4,8,1,2,7,32,22,12,21,11,36,11,4,41,43,30,50,10,45,25,50,75,35,60,45,90,90,75,90,80,0.39,0.32,0.5,0.54,0.31,0.25,0.5,0.31,0.3,0.32,0.36,0.18,0.19,0.16,0.37,3,2,1,1,1,90,75,10,45,25,0.36,0.5,0.5,0.54,0.31,23,50,11,31,19,20,20,20,0,10,60,45,45,40,50,90,70,70,95,75,0.34,0.41,0.41,0.27,0.55,0.22,0.35,0.35,0.4,0.28,0.44,0.24,0.24,0.33,0.17,2,2,2,2,1,60,45,45,40,10,0.22,0.35,0.35,0.4,0.55,0.481,0.073,0.594,0.196,0.984,0.677,0.206,0.577,0.606,0.365,90,75,10,45,25,60,45,45,40,10,1,0,1,0,0,53755,59443,41270,57651,34706,9,6,1,5,1,1,1,7,2,9,9,5,1,4,1,1,2,8,2,9,9,5,1,4,1,1,2,8,3,9,7,5,5,5,1,1,3,3,2,9,6,2,4,5,1,4,4,3,3,9,7,3,4,5,1,3,5,3,3,9,7,6,3,6,1,1,1,5,2,9,7,5,2,5,1,2,3,6,2,9,8,4,2,4,1,2,3,6,2,9
2,1,Chrome,M,32,10,9,2,5,8,33,22,21,13,22,9,26,41,37,11,25,40,45,30,20,60,65,60,50,45,100,100,90,95,70,0.43,0.38,0.54,0.3,0.41,0.35,0.34,0.3,0.3,0.35,0.22,0.28,0.16,0.4,0.24,3,2,1,3,2,100,65,45,95,45,0.22,0.34,0.54,0.4,0.35,18,29,31,15,50,15,15,0,20,50,70,50,40,50,75,80,75,95,90,90,0.45,0.24,0.27,0.28,0.32,0.29,0.4,0.4,0.19,0.5,0.26,0.36,0.33,0.53,0.18,3,2,2,1,2,80,50,40,20,75,0.26,0.4,0.4,0.28,0.5,0.019,0.31,0.022,0.738,0.59,0.524,0.342,0.959,0.517,0.252,100,65,45,95,75,80,50,40,20,45,0,0,0,0,1,41102,40964,39458,38800,32564,9,5,3,9,5,1,3,7,1,4,9,6,2,9,6,1,4,8,1,4,9,2,1,7,3,1,3,6,1,3,9,7,6,3,5,1,1,3,7,4,9,8,7,2,5,1,3,3,8,3,9,7,6,2,4,1,1,2,6,4,9,5,4,8,5,1,3,7,2,4,9,5,2,8,5,1,4,8,3,3,9,3,2,5,4,1,3,6,3,3
3,1,Chrome,M,39,7,8,9,3,6,11,22,22,23,31,43,11,26,8,21,25,20,40,15,25,45,45,65,70,45,80,70,100,80,80,0.31,0.41,0.38,0.49,0.3,0.32,0.35,0.34,0.27,0.3,0.37,0.24,0.28,0.24,0.4,1,2,2,2,3,25,45,65,70,80,0.31,0.35,0.34,0.27,0.4,19,50,29,3,46,10,50,15,0,55,50,75,50,30,70,75,90,75,60,85,0.55,0.32,0.24,0.41,0.26,0.28,0.5,0.4,0.37,0.53,0.17,0.18,0.36,0.22,0.21,1,2,2,3,1,10,75,50,60,55,0.55,0.5,0.4,0.22,0.26,0.208,0.122,0.808,0.32,0.872,0.511,0.658,0.111,0.961,0,25,45,65,70,80,10,75,50,60,55,0,1,0,1,1,67103,32797,35132,27560,31499,6,6,8,7,9,3,4,2,2,1,5,2,4,7,7,2,4,2,2,2,5,3,4,7,8,2,4,2,3,2,5,8,5,7,6,2,1,1,3,3,5,7,6,7,6,4,2,2,3,4,3,7,4,7,6,3,2,2,4,4,6,8,8,8,8,3,2,3,2,2,6,7,7,7,8,2,2,3,3,2,4,6,7,7,8,2,2,2,3,2
4,1,Chrome,M,47,4,9,10,3,8,32,22,33,23,22,36,26,9,8,11,20,40,25,0,50,60,65,60,30,75,90,100,100,60,90,0.34,0.38,0.43,0.41,0.32,0.22,0.34,0.35,0.37,0.5,0.44,0.28,0.22,0.22,0.18,2,2,3,3,2,60,65,100,60,75,0.22,0.34,0.22,0.22,0.5,23,29,18,3,50,30,15,15,15,20,50,50,70,70,45,90,75,80,80,70,0.39,0.24,0.45,0.49,0.41,0.25,0.4,0.29,0.27,0.35,0.36,0.36,0.26,0.24,0.24,3,2,3,2,2,90,50,80,70,45,0.36,0.4,0.26,0.27,0.35,0.43,0.517,0.522,0.802,0.936,0.32,0.37,0.064,0.498,0.532,60,65,100,60,75,90,50,80,70,45,0,0,0,0,0,66419,65593,38286,44633,49097,9,7,9,9,9,1,3,1,1,1,9,7,9,9,9,1,4,1,1,1,9,6,9,9,9,1,4,1,1,1,9,7,9,7,7,1,2,1,3,3,9,7,9,7,7,1,3,1,3,3,9,7,9,7,7,1,3,1,3,3,9,7,9,8,8,1,3,1,5,3,9,6,9,7,8,1,4,1,3,3,9,6,9,6,8,1,4,1,4,2
5,1,Firefox,F,30,7,3,8,10,6,11,23,22,33,31,43,8,11,9,21,25,0,20,25,55,45,30,45,60,70,80,60,70,100,85,0.31,0.41,0.41,0.43,0.26,0.32,0.37,0.35,0.35,0.53,0.37,0.22,0.24,0.22,0.21,1,3,2,3,1,25,60,45,100,55,0.31,0.22,0.35,0.22,0.26,19,3,50,18,46,10,15,50,15,25,50,70,75,70,45,75,80,90,80,80,0.55,0.49,0.32,0.45,0.3,0.28,0.27,0.5,0.29,0.3,0.17,0.24,0.18,0.26,0.4,1,2,2,3,3,10,70,75,80,80,0.55,0.27,0.5,0.26,0.4,0.547,0.215,0.126,0.139,0.868,0.781,0.284,0.694,0.299,0.484,25,60,45,100,55,10,70,75,80,80,0,0,1,0,0,44132,43726,46886,37058,37103,1,9,7,9,3,9,1,3,1,7,1,9,7,9,3,9,1,3,1,7,1,9,7,9,3,9,1,3,1,7,1,8,8,9,9,9,2,2,1,1,1,8,8,9,9,9,2,2,1,1,1,8,8,9,9,9,2,2,1,1,1,9,8,9,8,9,1,2,1,2,1,9,8,9,8,9,1,2,1,2,1,9,8,9,8,9,1,2,1,2
6,1,Chrome,M,28,6,10,9,5,8,31,33,22,13,22,21,9,26,37,11,55,25,15,30,50,70,60,50,50,75,85,100,75,95,90,0.26,0.43,0.24,0.3,0.32,0.53,0.35,0.4,0.3,0.5,0.21,0.22,0.36,0.4,0.18,1,3,2,3,2,55,100,50,95,75,0.26,0.22,0.4,0.4,0.5,46,18,29,15,50,25,15,40,20,20,45,70,65,50,45,80,80,100,90,70,0.3,0.45,0.38,0.28,0.41,0.3,0.29,0.34,0.19,0.35,0.4,0.26,0.28,0.53,0.24,3,3,2,1,2,80,80,65,20,45,0.4,0.26,0.34,0.28,0.35,0.097,0.753,0.082,0.301,0.496,0.425,0.7,0.491,0.498,0.262,55,100,50,95,75,80,80,65,20,45,0,0,1,0,0,57938,55328,45756,44847,31593,5,9,5,9,5,5,1,5,1,5,1,1,1,1,1,9,1,5,1,5,1,5,1,5,1,1,1,1,1,1,9,9,5,3,5,1,1,5,7,5,1,1,1,1,1,1,1,5,9,5,5,5,1,1,1,1,1,1,1,1,9,9,5,5,5,1,1,5,5,5,1,1,1,1,1,1,1,5,4,5,5,5,1,1,1,1,1,1,1,1
7,1,Safari,F,30,8,6,7,9,4,22,31,11,22,32,11,21,43,26,36,50,25,25,40,20,75,45,45,65,60,90,80,80,100,90,0.32,0.3,0.31,0.38,0.34,0.5,0.3,0.32,0.34,0.22,0.18,0.4,0.37,0.28,0.44,2,3,1,2,2,75,80,25,65,60,0.5,0.4,0.31,0.34,0.22,50,46,19,29,23,20,55,10,15,30,45,70,50,50,50,70,85,75,75,90,0.41,0.26,0.55,0.24,0.39,0.35,0.53,0.28,0.4,0.25,0.24,0.21,0.17,0.36,0.36,2,1,1,2,3,45,55,10,50,90,0.35,0.26,0.55,0.4,0.36,0.379,0.124,0.104,0.593,0.774,0.045,0.895,0.455,0.539,0.976,75,80,25,65,60,45,55,10,50,90,0,1,0,0,0,78180,49068,47554,66707,41106,9,9,5,9,9,1,1,5,1,1,9,9,4,9,9,1,1,5,1,1,9,9,4,9,9,1,1,4,1,1,9,9,4,8,9,1,1,2,1,1,8,9,4,7,9,1,1,4,1,1,5,9,4,5,9,1,1,4,7,1,9,9,4,9,9,1,1,4,1,1,9,9,4,6,9,1,1,4,1,1,9,9,4,7,9,1,1,4,1,1
8,1,Chrome,F,30,10,1,5,8,7,33,12,13,22,11,9,4,37,11,43,15,20,20,50,10,70,45,50,75,50,80,70,90,90,75,0.45,0.41,0.28,0.32,0.55,0.29,0.35,0.19,0.5,0.28,0.26,0.24,0.53,0.18,0.17,3,2,1,2,1,80,45,20,75,10,0.26,0.35,0.28,0.5,0.55,18,11,15,50,19,25,10,30,20,25,60,35,50,45,45,100,75,95,70,80,0.43,0.5,0.3,0.41,0.31,0.35,0.31,0.3,0.35,0.32,0.22,0.19,0.4,0.24,0.37,3,1,3,2,1,100,10,95,45,25,0.22,0.5,0.4,0.35,0.31,0.877,0.908,0.549,0.186,0.745,0.006,0.791,0.524,0.251,0.637,80,45,20,75,10,100,10,95,45,25,1,0,1,0,1,57893,59051,45419,46278,44043,9,6,3,8,1,1,3,5,2,7,8,5,1,8,2,1,4,7,2,9,7,5,2,7,2,1,1,1,1,3,9,3,8,7,2,1,6,2,3,8,9,2,9,8,1,1,8,1,3,8,7,3,6,7,2,1,2,1,1,4,9,3,7,8,2,1,6,2,2,6,9,3,7,8,1,1,7,3,2,9,8,5,8,5,2,1,2,2,1,5
9,1,Firefox,F,39,7,10,1,3,2,11,33,12,23,21,43,9,4,8,41,25,25,10,0,0,45,60,35,30,40,80,100,75,60,95,0.31,0.43,0.5,0.41,0.27,0.32,0.35,0.31,0.37,0.4,0.37,0.22,0.19,0.22,0.33,1,3,1,3,2,25,100,10,60,40,0.31,0.22,0.5,0.22,0.4,19,18,11,3,31,10,15,20,15,45,50,70,45,70,60,75,80,70,80,90,0.55,0.45,0.41,0.49,0.54,0.28,0.29,0.35,0.27,0.3,0.17,0.26,0.24,0.24,0.16,1,3,2,2,1,10,80,45,70,45,0.55,0.26,0.35,0.27,0.54,0.636,0.432,0.359,0.213,0.19,0.725,0.775,0.675,0.081,0.81,25,100,45,60,45,10,80,10,70,40,0,0,1,0,1,41298,46173,36383,40790,59469,5,7,4,7,6,4,6,5,6,7,6,5,7,4,4,5,4,6,4,5,5,4,5,5,6,6,5,4,4,6,4,7,4,6,5,5,6,7,5,6,6,6,6,4,5,4,5,5,6,6,5,4,5,7,5,4,6,4,6,4,6,4,7,4,5,7,7,5,6,7,4,7,6,6,6,5,6,5,7,5,6,5,4,4,5,7,6,6,5,6
10,1,Firefox,M,22,2,7,1,10,6,21,11,12,33,31,41,43,4,9,21,0,10,20,25,55,40,50,45,60,70,95,75,70,100,85,0.27,0.55,0.41,0.43,0.26,0.4,0.28,0.35,0.35,0.53,0.33,0.17,0.24,0.22,0.21,2,1,2,3,1,40,10,45,100,55,0.4,0.55,0.35,0.22,0.26,31,19,11,18,46,45,25,10,15,25,60,45,35,70,45,90,80,75,80,80,0.54,0.31,0.5,0.45,0.3,0.3,0.32,0.31,0.29,0.3,0.16,0.37,0.19,0.26,0.4,1,1,1,3,3,45,25,10,80,80,0.54,0.31,0.5,0.26,0.4,0.918,0.642,0.966,0.258,0.636,0.067,0.597,0.366,0.808,0.598,40,10,45,100,55,45,25,10,80,80,1,1,0,0,0,42312,46201,62254,35050,47691,9,3,7,9,5,1,1,1,1,2,6,1,6,9,3,1,6,1,1,2,3,1,4,6,1,1,1,1,1,1,9,3,1,9,8,1,2,4,1,1,7,1,1,8,7,1,4,6,1,1,3,1,1,6,5,1,1,1,1,1,9,2,5,9,6,1,3,1,1,2,8,1,3,9,3,1,4,1,1,2,3,1,3,7,2,1,1,1,1,1
