workerid,condition,browser,gender,age,order.1,order.2,order.3,order.4,order.5,askAboutLeftWheelFirst.1,askAboutLeftWheelFirst.2,askAboutLeftWheelFirst.3,askAboutLeftWheelFirst.4,askAboutLeftWheelFirst.5,showFirstOfPairFirst.1,showFirstOfPairFirst.2,showFirstOfPairFirst.3,showFirstOfPairFirst.4,showFirstOfPairFirst.5,spinnerPairID.1,spinnerPairID.2,spinnerPairID.3,spinnerPairID.4,spinnerPairID.5,spinnerPairCode.1,spinnerPairCode.2,spinnerPairCode.3,spinnerPairCode.4,spinnerPairCode.5,spinnerID_1.1,spinnerID_1.2,spinnerID_1.3,spinnerID_1.4,spinnerID_1.5,payoff1_1.1,payoff1_1.2,payoff1_1.3,payoff1_1.4,payoff1_1.5,payoff2_1.1,payoff2_1.2,payoff2_1.3,payoff2_1.4,payoff2_1.5,payoff3_1.1,payoff3_1.2,payoff3_1.3,payoff3_1.4,payoff3_1.5,prob1_1.1,prob1_1.2,prob1_1.3,prob1_1.4,prob1_1.5,prob2_1.1,prob2_1.2,prob2_1.3,prob2_1.4,prob2_1.5,prob3_1.1,prob3_1.2,prob3_1.3,prob3_1.4,prob3_1.5,winChoice_1.1,winChoice_1.2,winChoice_1.3,winChoice_1.4,winChoice_1.5,win_1.1,win_1.2,win_1.3,win_1.4,win_1.5,winProb_1.1,winProb_1.2,winProb_1.3,winProb_1.4,winProb_1.5,spinnerID_2.1,spinnerID_2.2,spinnerID_2.3,spinnerID_2.4,spinnerID_2.5,payoff1_2.1,payoff1_2.2,payoff1_2.3,payoff1_2.4,payoff1_2.5,payoff2_2.1,payoff2_2.2,payoff2_2.3,payoff2_2.4,payoff2_2.5,payoff3_2.1,payoff3_2.2,payoff3_2.3,payoff3_2.4,payoff3_2.5,prob1_2.1,prob1_2.2,prob1_2.3,prob1_2.4,prob1_2.5,prob2_2.1,prob2_2.2,prob2_2.3,prob2_2.4,prob2_2.5,prob3_2.1,prob3_2.2,prob3_2.3,prob3_2.4,prob3_2.5,winChoice_2.1,winChoice_2.2,winChoice_2.3,winChoice_2.4,winChoice_2.5,win_2.1,win_2.2,win_2.3,win_2.4,win_2.5,winProb_2.1,winProb_2.2,winProb_2.3,winProb_2.4,winProb_2.5,angleProportion_1.1,angleProportion_1.2,angleProportion_1.3,angleProportion_1.4,angleProportion_1.5,angleProportion_2.1,angleProportion_2.2,angleProportion_2.3,angleProportion_2.4,angleProportion_2.5,attentionCheck1.1,attentionCheck1.2,attentionCheck1.3,attentionCheck1.4,attentionCheck1.5,attentionCheck2.1,attentionCheck2.2,attentionCheck2.3,attentionCheck2.4,attentionCheck2.5,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,happy1.1,happy1.2,happy1.3,happy1.4,happy1.5,sad1.1,sad1.2,sad1.3,sad1.4,sad1.5,content1.1,content1.2,content1.3,content1.4,content1.5,disapp1.1,disapp1.2,disapp1.3,disapp1.4,disapp1.5,relief1.1,relief1.2,relief1.3,relief1.4,relief1.5,regret1.1,regret1.2,regret1.3,regret1.4,regret1.5,happy2.1,happy2.2,happy2.3,happy2.4,happy2.5,sad2.1,sad2.2,sad2.3,sad2.4,sad2.5,content2.1,content2.2,content2.3,content2.4,content2.5,disapp2.1,disapp2.2,disapp2.3,disapp2.4,disapp2.5,relief2.1,relief2.2,relief2.3,relief2.4,relief2.5,regret2.1,regret2.2,regret2.3,regret2.4,regret2.5,happy3.1,happy3.2,happy3.3,happy3.4,happy3.5,sad3.1,sad3.2,sad3.3,sad3.4,sad3.5,content3.1,content3.2,content3.3,content3.4,content3.5,disapp3.1,disapp3.2,disapp3.3,disapp3.4,disapp3.5,relief3.1,relief3.2,relief3.3,relief3.4,relief3.5,regret3.1,regret3.2,regret3.3,regret3.4,regret3.5
1,1,Chrome,M,31,1,2,3,4,5,0,0,0,1,1,0,0,1,0,1,7,5,8,6,10,11,13,22,31,33,19,15,11,46,9,10,20,20,25,15,50,50,45,45,70,75,90,70,80,80,0.55,0.28,0.41,0.3,0.45,0.28,0.19,0.35,0.3,0.29,0.17,0.53,0.24,0.4,0.26,1,1,2,3,3,10,20,45,80,80,0.55,0.28,0.35,0.4,0.26,43,37,50,21,18,25,30,50,55,25,45,50,75,70,60,80,95,90,85,100,0.31,0.3,0.32,0.26,0.43,0.32,0.3,0.5,0.53,0.35,0.37,0.4,0.18,0.21,0.22,1,3,2,1,3,25,95,75,55,100,0.31,0.4,0.5,0.26,0.22,0.943,0.716,0.515,0.989,0.56,0.896,0.303,0.461,0.953,0.229,25,95,45,55,80,10,20,75,80,100,77107,49777,44725,43853,36374,6,9,7,5,9,3,1,2,4,1,3,9,5,4,9,8,1,3,7,1,1,9,2,1,9,4,1,2,6,1,3,6,7,9,9,8,5,1,1,1,2,7,6,9,9,9,4,2,1,1,1,1,1,9,9,5,3,2,1,1,6,7,8,8,9,6,4,1,2,1,6,5,6,7,9,8,4,2,2,1,1,1,1,1,9,4,4,2,1,1
2,1,Chrome,M,34,1,2,3,4,5,0,0,0,0,0,0,0,0,0,1,6,10,9,7,4,31,33,22,11,32,46,18,29,19,36,25,15,15,10,30,45,70,50,50,50,80,80,75,75,90,0.3,0.45,0.24,0.55,0.39,0.3,0.29,0.4,0.28,0.25,0.4,0.26,0.36,0.17,0.36,3,3,2,1,3,80,80,50,10,90,0.4,0.26,0.4,0.55,0.36,21,9,26,43,23,55,25,40,25,20,70,60,65,45,60,85,100,100,80,90,0.26,0.43,0.38,0.31,0.34,0.53,0.35,0.34,0.32,0.22,0.21,0.22,0.28,0.37,0.44,1,3,2,1,2,55,100,65,25,60,0.26,0.22,0.34,0.31,0.22,0.562,0.434,0.175,0.951,0.737,0.218,0.871,0.003,0.951,0.392,55,100,65/40,25,90,80,80,50,10,60,57372,28966,39865,38122,36742,5,8,5,6,7,5,8,5,2,2,5,8,5,5,5,5,8,5,2,2,5,8,5,2,2,5,8,5,2,2,7,6,5,5,4,7,6,5,2,2,7,6,5,3,3,7,6,5,2,2,7,6,5,2,2,7,6,5,2,2,7,7,6,4,6,6,6,2,2,2,8,8,6,3,4,6,6,2,2,2,5,7,3,2,2,6,7,3,2,2
3,1,Chrome,M,26,1,2,3,4,5,1,1,1,0,1,0,0,0,0,0,10,3,8,9,1,33,23,22,22,12,18,3,50,29,11,15,15,20,15,10,70,70,45,50,35,80,80,70,75,75,0.45,0.49,0.41,0.24,0.5,0.29,0.27,0.35,0.4,0.31,0.26,0.24,0.24,0.36,0.19,3,2,2,2,1,80,70,45,50,10,0.26,0.27,0.35,0.4,0.5,9,8,11,26,4,25,0,50,40,20,60,30,75,65,45,100,60,90,100,70,0.43,0.41,0.32,0.38,0.41,0.35,0.37,0.5,0.34,0.35,0.22,0.22,0.18,0.28,0.24,3,3,2,2,2,100,60,75,65,45,0.22,0.22,0.5,0.34,0.35,0.87,0.685,0.448,0.529,0.143,0.727,0.402,0.495,0.843,0.635,100,60,75,65,45,80,70,45,50,10,72109,51278,57056,47244,56841,9,9,8,8,8,1,1,2,2,2,9,9,8,8,8,1,1,2,2,2,9,9,7,8,8,1,1,2,2,2,9,8,7,8,3,1,2,3,2,7,9,8,7,8,3,1,3,3,2,7,9,6,6,8,3,1,3,4,2,7,9,8,7,7,5,1,2,3,2,5,9,8,7,7,5,1,2,4,3,6,9,8,5,5,4,1,2,4,3,6
4,1,Firefox,F,44,1,2,3,4,5,0,1,1,1,0,0,0,1,1,0,5,7,8,1,6,13,11,22,12,31,15,19,11,4,46,20,10,20,10,25,50,50,45,35,45,90,75,70,75,80,0.28,0.55,0.41,0.5,0.3,0.19,0.28,0.35,0.31,0.3,0.53,0.17,0.24,0.19,0.4,1,1,2,1,3,20,10,45,10,80,0.28,0.55,0.35,0.5,0.4,37,43,50,11,21,30,25,50,20,55,50,45,75,45,70,95,80,90,70,85,0.3,0.31,0.32,0.41,0.26,0.3,0.32,0.5,0.35,0.53,0.4,0.37,0.18,0.24,0.21,3,1,2,2,1,95,25,75,45,55,0.4,0.31,0.5,0.35,0.26,0.401,0.561,0.786,0.644,0.289,0.172,0.468,0.351,0.299,0.874,95,25,45,10,55,20,10,,45,,99931,52188,52556,68049,44727,9,7,8,5,6,1,1,1,1,1,9,7,6,5,5,1,3,1,4,2,9,7,7,4,5,1,1,1,1,1,6,6,8,7,9,1,1,1,1,1,7,6,7,7,8,3,5,1,2,1,7,6,7,7,8,1,1,1,1,1,9,6,8,7,8,1,2,1,1,1,8,5,8,5,7,1,4,2,4,1,9,5,7,5,7,1,1,1,1,1
5,1,Firefox,M,50,1,2,3,4,5,0,1,0,1,0,1,0,1,1,0,5,9,10,6,3,13,22,33,31,23,37,29,9,21,3,20,15,15,25,15,50,50,70,45,70,90,75,80,80,80,0.28,0.24,0.45,0.3,0.49,0.19,0.4,0.29,0.3,0.27,0.53,0.36,0.26,0.4,0.24,1,2,3,3,2,20,50,80,80,70,0.28,0.4,0.26,0.4,0.27,15,26,18,46,8,30,40,25,55,0,50,65,60,70,30,95,100,100,85,60,0.3,0.38,0.43,0.26,0.41,0.3,0.34,0.35,0.53,0.37,0.4,0.28,0.22,0.21,0.22,3,2,3,1,3,95,65,100,55,60,0.4,0.34,0.22,0.26,0.22,0.942,0.789,0.445,0.642,0.355,0.239,0.323,0.2,0.497,0.404,20,65,80,80,60,95,50,100,55,70,76663,63470,42997,43621,45199,4,6,9,9,9,7,3,1,1,1,2,6,9,9,9,9,4,1,1,1,1,5,9,9,9,8,4,1,1,1,9,6,9,7,8,1,3,1,2,1,9,6,9,8,8,1,3,1,1,1,9,5,9,7,8,1,2,1,2,1,7,6,9,8,9,2,1,1,1,1,8,7,9,8,9,3,3,1,1,1,5,7,9,8,9,3,3,1,1,1
6,1,Chrome,F,25,1,2,3,4,5,1,1,1,0,0,0,1,1,1,1,9,7,8,5,1,22,11,22,13,12,29,43,11,37,4,15,10,20,20,10,50,50,45,50,35,75,75,70,90,75,0.24,0.55,0.41,0.28,0.5,0.4,0.28,0.35,0.19,0.31,0.36,0.17,0.24,0.53,0.19,2,1,2,1,1,50,10,45,20,10,0.4,0.55,0.35,0.28,0.5,26,19,50,15,11,40,25,50,30,20,65,45,75,50,45,100,80,90,95,70,0.38,0.31,0.32,0.3,0.41,0.34,0.32,0.5,0.3,0.35,0.28,0.37,0.18,0.4,0.24,2,1,2,3,2,65,25,75,95,45,0.34,0.31,0.5,0.4,0.35,0.618,0.558,0.667,0.609,0.911,0.652,0.045,0.832,0.551,0.216,65,10,,20,10,50,,75,95,45,69939,127218,39333,43336,43760,6,4,6,3,2,2,2,1,1,2,7,2,6,4,2,4,6,3,4,4,5,1,3,1,2,3,5,3,2,4,7,4,7,7,5,1,2,2,2,2,6,4,8,6,5,3,6,1,1,3,4,1,6,7,3,2,4,1,1,3,7,2,5,6,4,1,1,2,1,5,7,2,7,5,3,3,4,2,2,4,4,2,4,5,3,3,3,2,2,4
7,1,Chrome,M,27,1,2,3,4,5,0,1,0,1,1,0,1,1,1,1,8,4,1,7,2,22,32,12,11,21,50,36,4,43,41,20,30,10,10,0,45,50,35,50,40,70,90,75,75,95,0.41,0.39,0.5,0.55,0.27,0.35,0.25,0.31,0.28,0.4,0.24,0.36,0.19,0.17,0.33,2,3,1,1,2,45,90,10,10,40,0.35,0.36,0.5,0.55,0.4,11,23,11,19,31,50,20,20,25,45,75,60,45,45,60,90,90,70,80,90,0.32,0.34,0.41,0.31,0.54,0.5,0.22,0.35,0.32,0.3,0.18,0.44,0.24,0.37,0.16,2,2,2,1,1,75,60,45,25,45,0.5,0.22,0.35,0.31,0.54,0.645,0.32,0.563,0.875,0.566,0.563,0.061,0.177,0.793,0.298,75,90,10,10,40,45,60,45,25,45,61738,63325,66529,59797,59214,8,9,2,3,4,1,1,7,6,4,9,9,2,1,5,1,1,8,7,3,5,7,1,1,7,1,1,6,6,3,6,6,6,2,3,3,4,2,6,6,6,4,6,1,3,3,5,4,8,7,2,2,6,1,1,1,3,2,7,6,7,8,4,2,3,2,1,5,7,5,6,9,4,1,4,3,2,7,9,6,4,4,2,1,3,1,1,6,7,4
8,1,Chrome,F,28,1,2,3,4,5,1,0,0,1,1,0,0,0,1,1,7,1,5,3,10,11,12,13,23,33,19,11,15,8,9,10,10,20,15,15,50,35,50,70,70,75,75,90,80,80,0.55,0.5,0.28,0.49,0.45,0.28,0.31,0.19,0.27,0.29,0.17,0.19,0.53,0.24,0.26,1,1,1,2,3,10,10,20,70,80,0.55,0.5,0.28,0.27,0.26,43,4,37,3,18,25,20,30,0,25,45,45,50,30,60,80,70,95,60,100,0.31,0.41,0.3,0.41,0.43,0.32,0.35,0.3,0.37,0.35,0.37,0.24,0.4,0.22,0.22,1,2,3,3,3,25,45,95,60,100,0.31,0.35,0.4,0.22,0.22,0.05,0.535,0.143,0.02,0.855,0.676,0.168,0.099,0.83,0.817,25,45,95,70,80,,10,20,60,100,58832,55690,71394,50624,42510,6,5,8,8,9,2,2,1,2,2,6,4,8,4,7,3,3,1,1,1,6,5,8,8,9,1,1,1,2,2,2,2,4,9,9,7,7,8,1,1,1,1,3,7,7,8,9,9,1,1,2,1,3,9,9,7,6,6,1,1,4,5,6,8,9,6,4,5,2,3,3,3,3,7,7,8,7,5,1,1,3,1,3,8,9,7,6,5,2,2
9,1,Firefox,M,23,1,2,3,4,5,1,0,1,1,0,0,0,0,0,1,7,5,2,3,1,11,13,21,23,12,19,15,31,3,4,10,20,0,15,10,50,50,40,70,35,75,90,95,80,75,0.55,0.28,0.27,0.49,0.5,0.28,0.19,0.4,0.27,0.31,0.17,0.53,0.33,0.24,0.19,1,1,2,2,1,10,20,40,70,10,0.55,0.28,0.4,0.27,0.5,43,37,41,8,11,25,30,45,0,20,45,50,60,30,45,80,95,90,60,70,0.31,0.3,0.54,0.41,0.41,0.32,0.3,0.3,0.37,0.35,0.37,0.4,0.16,0.22,0.24,1,3,1,3,2,25,95,45,60,45,0.31,0.4,0.54,0.22,0.35,0.962,0.3,0.248,0.716,0.166,0.13,0.471,0.195,0.333,0.533,80,30,90,30,10,50,90,40,80,20,38223,39185,40194,35894,27214,7,2,7,3,2,4,4,5,5,4,5,4,5,4,3,5,2,6,5,4,3,5,3,5,4,6,4,5,3,5,4,5,3,7,2,6,6,3,5,4,4,3,7,5,3,5,5,4,7,3,5,5,5,4,4,3,2,5,5,3,3,3,6,6,3,6,5,7,7,5,5,3,5,4,3,5,5,5,5,4,6,5,8,5,4,3,3,4,6,3
10,1,Firefox,M,30,1,2,3,4,5,1,0,1,0,1,1,0,0,1,1,5,1,4,8,7,13,12,32,22,11,37,11,23,11,43,20,10,30,20,10,50,35,50,45,50,90,75,90,70,75,0.28,0.5,0.39,0.41,0.55,0.19,0.31,0.25,0.35,0.28,0.53,0.19,0.36,0.24,0.17,1,1,3,2,1,20,10,90,45,10,0.28,0.5,0.36,0.35,0.55,15,4,36,50,19,30,20,20,50,25,50,45,60,75,45,95,70,90,90,80,0.3,0.41,0.34,0.32,0.31,0.3,0.35,0.22,0.5,0.32,0.4,0.24,0.44,0.18,0.37,3,2,2,2,1,95,45,60,75,25,0.4,0.35,0.22,0.5,0.31,0.82,0.886,0.74,0.35,0.556,0.841,0.686,0.853,0.65,0.875,20,45,60,45,10,95,10,90,75,25,87903,63599,57248,52226,51039,5,4,5,5,1,5,4,3,5,6,4,3,5,5,1,6,1,2,5,9,2,3,4,5,1,2,3,2,5,1,9,1,9,6,2,1,9,1,2,6,9,1,8,8,3,1,9,2,2,4,4,1,7,3,4,1,7,3,1,4,6,3,6,5,2,3,6,2,2,8,7,2,7,6,1,2,6,3,2,5,5,4,7,4,1,1,6,1,1,9
