workerid,condition,browser,gender,age,showEarlierWheelFirst,order.1,order.2,order.3,order.4,order.5,askAboutLeftWheelFirst.1,askAboutLeftWheelFirst.2,askAboutLeftWheelFirst.3,askAboutLeftWheelFirst.4,askAboutLeftWheelFirst.5,showFirstOfPairFirst.1,showFirstOfPairFirst.2,showFirstOfPairFirst.3,showFirstOfPairFirst.4,showFirstOfPairFirst.5,spinnerPairID.1,spinnerPairID.2,spinnerPairID.3,spinnerPairID.4,spinnerPairID.5,spinnerPairCode.1,spinnerPairCode.2,spinnerPairCode.3,spinnerPairCode.4,spinnerPairCode.5,spinnerID_1.1,spinnerID_1.2,spinnerID_1.3,spinnerID_1.4,spinnerID_1.5,payoff1_1.1,payoff1_1.2,payoff1_1.3,payoff1_1.4,payoff1_1.5,payoff2_1.1,payoff2_1.2,payoff2_1.3,payoff2_1.4,payoff2_1.5,payoff3_1.1,payoff3_1.2,payoff3_1.3,payoff3_1.4,payoff3_1.5,prob1_1.1,prob1_1.2,prob1_1.3,prob1_1.4,prob1_1.5,prob2_1.1,prob2_1.2,prob2_1.3,prob2_1.4,prob2_1.5,prob3_1.1,prob3_1.2,prob3_1.3,prob3_1.4,prob3_1.5,winChoice_1.1,winChoice_1.2,winChoice_1.3,winChoice_1.4,winChoice_1.5,win_1.1,win_1.2,win_1.3,win_1.4,win_1.5,winProb_1.1,winProb_1.2,winProb_1.3,winProb_1.4,winProb_1.5,spinnerID_2.1,spinnerID_2.2,spinnerID_2.3,spinnerID_2.4,spinnerID_2.5,payoff1_2.1,payoff1_2.2,payoff1_2.3,payoff1_2.4,payoff1_2.5,payoff2_2.1,payoff2_2.2,payoff2_2.3,payoff2_2.4,payoff2_2.5,payoff3_2.1,payoff3_2.2,payoff3_2.3,payoff3_2.4,payoff3_2.5,prob1_2.1,prob1_2.2,prob1_2.3,prob1_2.4,prob1_2.5,prob2_2.1,prob2_2.2,prob2_2.3,prob2_2.4,prob2_2.5,prob3_2.1,prob3_2.2,prob3_2.3,prob3_2.4,prob3_2.5,winChoice_2.1,winChoice_2.2,winChoice_2.3,winChoice_2.4,winChoice_2.5,win_2.1,win_2.2,win_2.3,win_2.4,win_2.5,winProb_2.1,winProb_2.2,winProb_2.3,winProb_2.4,winProb_2.5,angleProportion_1.1,angleProportion_1.2,angleProportion_1.3,angleProportion_1.4,angleProportion_1.5,angleProportion_2.1,angleProportion_2.2,angleProportion_2.3,angleProportion_2.4,angleProportion_2.5,attentionCheck1.1,attentionCheck1.2,attentionCheck1.3,attentionCheck1.4,attentionCheck1.5,attentionCheck2.1,attentionCheck2.2,attentionCheck2.3,attentionCheck2.4,attentionCheck2.5,attentionCheck1Time.1,attentionCheck1Time.2,attentionCheck1Time.3,attentionCheck1Time.4,attentionCheck1Time.5,attentionCheck2Time.1,attentionCheck2Time.2,attentionCheck2Time.3,attentionCheck2Time.4,attentionCheck2Time.5,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,happy1.1,happy1.2,happy1.3,happy1.4,happy1.5,sad1.1,sad1.2,sad1.3,sad1.4,sad1.5,content1.1,content1.2,content1.3,content1.4,content1.5,disapp1.1,disapp1.2,disapp1.3,disapp1.4,disapp1.5,relief1.1,relief1.2,relief1.3,relief1.4,relief1.5,regret1.1,regret1.2,regret1.3,regret1.4,regret1.5,happy2.1,happy2.2,happy2.3,happy2.4,happy2.5,sad2.1,sad2.2,sad2.3,sad2.4,sad2.5,content2.1,content2.2,content2.3,content2.4,content2.5,disapp2.1,disapp2.2,disapp2.3,disapp2.4,disapp2.5,relief2.1,relief2.2,relief2.3,relief2.4,relief2.5,regret2.1,regret2.2,regret2.3,regret2.4,regret2.5,happy3.1,happy3.2,happy3.3,happy3.4,happy3.5,sad3.1,sad3.2,sad3.3,sad3.4,sad3.5,content3.1,content3.2,content3.3,content3.4,content3.5,disapp3.1,disapp3.2,disapp3.3,disapp3.4,disapp3.5,relief3.1,relief3.2,relief3.3,relief3.4,relief3.5,regret3.1,regret3.2,regret3.3,regret3.4,regret3.5
1,1,Chrome,F,25,0,1,2,3,4,5,0,0,0,1,1,1,0,0,0,1,10,6,4,9,2,33,31,32,22,21,9,46,23,29,41,15,55,20,40,0,70,70,60,65,40,80,85,90,100,95,0.45,0.26,0.34,0.38,0.27,0.29,0.53,0.22,0.34,0.4,0.26,0.21,0.44,0.28,0.33,3,1,2,2,2,80,55,60,65,40,0.26,0.26,0.22,0.34,0.4,18,21,36,26,31,25,25,30,15,45,60,45,50,50,60,100,80,90,75,90,0.43,0.3,0.39,0.24,0.54,0.35,0.3,0.25,0.4,0.3,0.22,0.4,0.36,0.36,0.16,3,3,3,2,1,100,80,90,50,45,0.22,0.4,0.36,0.4,0.54,0.732,0.238,0.403,0.521,0.382,0.722,0.754,0.102,0.236,0.053,80,55,60,65,40,100,80,90,50,45,2,2,2,10,10,10,10,10,2,2,63547,54631,57273,37895,46671,8,3,7,6,8,1,6,2,4,3,8,3,7,6,7,1,7,3,4,3,7,1,6,6,7,1,7,3,4,2,7,9,9,7,3,1,1,1,3,6,7,9,9,7,3,1,1,1,4,7,5,9,9,7,1,1,1,1,4,7,9,6,8,6,4,1,3,2,3,6,9,6,8,6,4,1,4,3,4,6,8,5,6,6,4,1,4,4,4,6
2,1,Chrome,F,34,1,1,2,3,4,5,0,1,0,1,1,1,0,1,0,1,10,5,4,1,6,33,13,32,12,31,9,15,36,11,21,15,30,30,20,25,70,50,50,45,45,80,95,90,70,80,0.45,0.3,0.39,0.41,0.3,0.29,0.3,0.25,0.35,0.3,0.26,0.4,0.36,0.24,0.4,3,3,3,2,3,80,95,90,45,80,0.26,0.4,0.36,0.35,0.4,18,37,23,4,46,25,20,20,10,55,60,50,60,35,70,100,90,90,75,85,0.43,0.28,0.34,0.5,0.26,0.35,0.19,0.22,0.31,0.53,0.22,0.53,0.44,0.19,0.21,3,1,2,1,1,100,20,60,10,55,0.22,0.28,0.22,0.5,0.26,0.513,0.204,0.269,0.858,0.347,0.626,0.395,0.923,0.861,0.209,80,95,90,45,80,100,20,60,10,55,10,10,10,10,10,2,2,2,2,2,71238,50868,45587,104969,42563,7,8,9,6,8,3,2,2,3,2,7,9,7,6,8,3,4,4,4,3,7,7,8,5,6,3,1,4,4,5,9,6,6,3,6,1,5,4,6,4,8,4,6,3,5,2,7,6,9,6,6,3,5,1,4,1,4,5,2,3,9,6,7,3,6,1,4,4,4,5,8,5,6,1,3,2,6,5,8,4,7,5,6,2,2,3,4,3,3,2
3,1,Chrome,F,24,1,1,2,3,4,5,1,1,1,1,1,1,0,0,0,0,5,9,10,2,3,13,22,33,21,23,37,29,18,31,3,20,40,25,45,0,50,65,60,60,30,90,100,100,90,60,0.28,0.38,0.43,0.54,0.41,0.19,0.34,0.35,0.3,0.37,0.53,0.28,0.22,0.16,0.22,1,2,3,1,3,20,65,100,45,60,0.28,0.34,0.22,0.54,0.22,15,26,9,41,8,30,15,15,0,15,50,50,70,40,70,95,75,80,95,80,0.3,0.24,0.45,0.27,0.49,0.3,0.4,0.29,0.4,0.27,0.4,0.36,0.26,0.33,0.24,3,2,3,2,2,95,50,80,40,70,0.4,0.4,0.26,0.4,0.27,0.262,0.438,0.834,0.767,0.098,0.987,0.425,0.554,0.077,0.01,20,65,100,45,60,95,50,80,40,70,10,10,10,10,10,2,2,2,2,2,67217,54487,38465,47537,44670,3,5,9,3,8,4,2,1,3,1,5,5,7,5,7,3,2,1,4,1,1,3,7,2,7,3,2,1,3,1,7,5,9,5,7,1,2,1,3,1,5,5,9,4,6,1,2,1,3,1,8,5,9,5,7,1,2,1,4,1,7,6,9,5,8,2,1,1,3,1,6,5,9,6,7,2,1,1,3,1,7,5,9,4,7,2,2,1,3,1
4,1,Chrome,M,23,1,1,2,3,4,5,0,0,1,1,1,1,0,1,1,1,9,4,8,10,1,22,32,22,33,12,26,23,11,9,4,15,20,20,15,10,50,60,45,70,35,75,90,70,80,75,0.24,0.34,0.41,0.45,0.5,0.4,0.22,0.35,0.29,0.31,0.36,0.44,0.24,0.26,0.19,2,2,2,3,1,50,60,45,80,10,0.4,0.22,0.35,0.26,0.5,29,36,50,18,11,40,30,50,25,20,65,50,75,60,45,100,90,90,100,70,0.38,0.39,0.32,0.43,0.41,0.34,0.25,0.5,0.35,0.35,0.28,0.36,0.18,0.22,0.24,2,3,2,3,2,65,90,75,100,45,0.34,0.36,0.5,0.22,0.35,0.922,0.541,0.78,0.514,0.438,0.57,0.595,0.943,0.396,0.172,50,60,45,80,10,65,90,75,100,45,10,10,10,10,10,2,2,2,2,2,75741,56012,58116,64428,89874,9,8,8,9,4,3,2,1,1,7,4,2,7,8,1,3,1,2,1,7,8,7,7,6,3,2,1,2,1,5,9,9,8,9,6,2,1,2,1,4,1,1,6,9,3,1,1,1,1,5,7,7,6,8,4,1,1,1,1,3,9,9,9,9,6,2,1,1,2,4,2,8,8,7,3,1,1,2,2,4,8,7,7,8,3,1,2,1,2,5
5,1,Chrome,M,22,1,1,2,3,4,5,0,0,1,1,1,1,0,0,0,0,8,4,6,10,2,22,32,31,33,21,11,23,46,18,31,20,20,55,25,45,45,60,70,60,60,70,90,85,100,90,0.41,0.34,0.26,0.43,0.54,0.35,0.22,0.53,0.35,0.3,0.24,0.44,0.21,0.22,0.16,2,2,1,3,1,45,60,55,100,45,0.35,0.22,0.26,0.22,0.54,50,36,21,9,41,50,30,25,15,0,75,50,45,70,40,90,90,80,80,95,0.32,0.39,0.3,0.45,0.27,0.5,0.25,0.3,0.29,0.4,0.18,0.36,0.4,0.26,0.33,2,3,3,3,2,75,90,80,80,40,0.5,0.36,0.4,0.26,0.4,0.5,0.922,0.569,0.189,0.005,0.993,0.703,0.177,0.923,0.521,45,60,55,100,45,75,90,80,80,40,10,10,10,10,10,2,2,2,2,2,57343,36766,38081,43659,34743,8,1,4,4,3,5,5,4,4,4,8,5,3,7,7,7,7,5,6,6,7,6,6,6,6,9,5,6,3,5,7,3,5,4,4,5,5,4,7,9,8,7,7,7,7,8,6,6,4,6,9,6,5,2,4,8,8,5,7,7,5,4,3,6,4,5,7,4,5,3,6,6,4,4,7,4,8,8,8,7,4,8,7,7,6,6,4,7,7,5
6,1,Chrome,F,26,0,1,2,3,4,5,0,0,0,1,1,0,0,0,0,0,6,4,7,1,9,31,32,11,12,22,46,23,19,11,29,55,20,25,20,40,70,60,45,45,65,85,90,80,70,100,0.26,0.34,0.31,0.41,0.38,0.53,0.22,0.32,0.35,0.34,0.21,0.44,0.37,0.24,0.28,1,2,1,2,2,55,60,25,45,65,0.26,0.22,0.31,0.35,0.34,21,36,43,4,26,25,30,10,10,15,45,50,50,35,50,80,90,75,75,75,0.3,0.39,0.55,0.5,0.24,0.3,0.25,0.28,0.31,0.4,0.4,0.36,0.17,0.19,0.36,3,3,1,1,2,80,90,10,10,50,0.4,0.36,0.55,0.5,0.4,0.283,0.507,0.307,0.331,0.018,0.692,0.3,0.175,0.247,0.673,55,60,25,45,65,80,90,10,10,50,2,2,10,2,2,10,10,10,10,10,65393,48458,43499,51292,78945,5,3,4,5,6,4,7,7,3,3,5,5,4,5,5,2,7,8,3,2,7,3,3,6,6,5,4,6,3,3,9,9,1,3,6,1,2,8,7,3,5,5,3,3,6,2,2,9,7,3,9,7,2,2,7,1,3,6,5,3,7,7,3,5,6,2,3,7,3,3,5,6,2,4,6,4,3,8,6,3,7,7,2,3,7,3,3,6,6,3
7,1,Firefox,M,37,0,1,2,3,4,5,1,1,0,1,1,0,1,1,0,1,9,8,6,10,4,22,22,31,33,32,29,11,21,18,36,40,20,25,25,30,65,45,45,60,50,100,70,80,100,90,0.38,0.41,0.3,0.43,0.39,0.34,0.35,0.3,0.35,0.25,0.28,0.24,0.4,0.22,0.36,2,2,3,3,3,65,45,80,100,90,0.34,0.35,0.4,0.22,0.36,26,50,46,9,23,15,50,55,15,20,50,75,70,70,60,75,90,85,80,90,0.24,0.32,0.26,0.45,0.34,0.4,0.5,0.53,0.29,0.22,0.36,0.18,0.21,0.26,0.44,2,2,1,3,2,50,75,55,80,60,0.4,0.5,0.26,0.26,0.22,0.28,0.773,0.156,0.75,0.927,0.13,0.713,0.713,0.731,0.285,65,45,80,100,90,50,75,55,80,60,2,2,2,2,2,10,10,10,10,10,81512,51103,47254,51952,47909,7,7,9,9,9,2,2,1,1,1,6,6,8,9,9,2,2,1,1,1,6,5,5,9,9,3,2,3,1,1,7,5,5,8,6,2,5,5,1,3,5,4,5,8,6,2,5,5,2,3,5,4,5,8,5,3,4,5,2,5,7,3,9,9,9,2,7,1,1,1,6,4,9,9,9,3,9,1,1,1,3,3,9,9,9,3,6,1,1,1
8,1,Chrome,F,25,0,1,2,3,4,5,1,0,1,1,1,0,0,1,1,0,9,7,2,6,10,22,11,21,31,33,29,19,41,21,18,40,25,0,25,25,65,45,40,45,60,100,80,95,80,100,0.38,0.31,0.27,0.3,0.43,0.34,0.32,0.4,0.3,0.35,0.28,0.37,0.33,0.4,0.22,2,1,2,3,3,65,25,40,80,100,0.34,0.31,0.4,0.4,0.22,26,43,31,46,9,15,10,45,55,15,50,50,60,70,70,75,75,90,85,80,0.24,0.55,0.54,0.26,0.45,0.4,0.28,0.3,0.53,0.29,0.36,0.17,0.16,0.21,0.26,2,1,1,1,3,50,10,45,55,80,0.4,0.55,0.54,0.26,0.26,0.818,0.793,0.783,0.517,0.779,0.225,0.291,0.898,0.372,0.779,65,25,40,80,100,50,10,45,55,80,2,2,2,2,2,10,10,10,10,10,75652,44156,43101,46434,41417,8,7,8,9,9,2,2,1,1,1,8,7,8,9,9,4,5,1,1,1,6,5,9,9,9,2,4,1,1,1,7,6,7,8,9,1,4,1,1,1,8,7,8,8,9,2,7,2,3,1,6,6,6,6,8,2,6,1,2,1,8,5,7,8,9,2,4,1,1,1,7,7,7,8,9,3,4,1,3,1,6,6,8,7,6,1,7,1,2,1
9,1,Chrome,M,24,1,1,2,3,4,5,1,1,1,1,1,0,1,1,1,0,3,9,8,2,1,23,22,22,21,12,3,26,11,41,11,0,15,20,0,20,30,50,45,40,45,60,75,70,95,70,0.41,0.24,0.41,0.27,0.41,0.37,0.4,0.35,0.4,0.35,0.22,0.36,0.24,0.33,0.24,3,2,2,2,2,60,50,45,40,45,0.22,0.4,0.35,0.4,0.35,8,29,50,31,4,15,40,50,45,10,70,65,75,60,35,80,100,90,90,75,0.49,0.38,0.32,0.54,0.5,0.27,0.34,0.5,0.3,0.31,0.24,0.28,0.18,0.16,0.19,2,2,2,1,1,70,65,75,45,10,0.27,0.34,0.5,0.54,0.5,0.885,0.495,0.59,0.989,0.728,0.929,0.386,0.952,0.271,0.994,60,50,45,40,45,70,65,75,45,10,10,10,10,10,10,2,2,2,2,2,72908,41533,39557,44989,41136,8,8,7,6,7,2,1,2,2,2,6,7,6,7,6,2,1,1,3,2,7,8,5,6,6,3,1,2,2,3,9,7,8,5,4,2,2,2,4,5,8,7,7,5,4,2,3,1,4,5,8,8,7,5,4,2,3,2,3,5,8,7,7,5,4,1,2,2,4,6,8,7,8,6,4,1,4,1,4,6,7,8,7,6,4,1,3,2,4,5
10,1,Chrome,F,28,1,1,2,3,4,5,1,1,0,0,1,1,0,0,1,0,9,7,6,2,3,22,11,31,21,23,26,19,46,41,3,15,25,55,0,0,50,45,70,40,30,75,80,85,95,60,0.24,0.31,0.26,0.27,0.41,0.4,0.32,0.53,0.4,0.37,0.36,0.37,0.21,0.33,0.22,2,1,1,2,3,50,25,55,40,60,0.4,0.31,0.26,0.4,0.22,29,43,21,31,8,40,10,25,45,15,65,50,45,60,70,100,75,80,90,80,0.38,0.55,0.3,0.54,0.49,0.34,0.28,0.3,0.3,0.27,0.28,0.17,0.4,0.16,0.24,2,1,3,1,2,65,10,80,45,70,0.34,0.55,0.4,0.54,0.27,0.488,0.013,0.661,0.331,0.663,0.563,0.826,0.41,0.174,0.695,50,25,55,40,60,65,10,80,45,70,10,10,10,10,10,2,2,2,2,2,64905,54233,150874,69529,47821,6,3,6,8,9,1,5,3,3,1,6,3,7,7,9,1,8,3,3,1,7,3,6,7,9,1,8,2,1,1,7,3,7,5,7,1,5,1,3,1,7,1,7,5,7,1,7,1,7,1,7,1,7,4,7,1,7,1,5,1,7,2,8,6,7,1,7,1,3,1,7,1,8,7,8,1,7,1,4,1,1,1,8,7,8,1,7,1,3,1
